الاسم,المدينة,المنطقة,الحي,الشارع,صندوق البريد,الرمز الريدي,الجوال,البريد الالكتروني
روز بلازا,جازان,جازان,الصفا,الملك عبدالله,41,,017-3222262,alihady@yahoo.com
قصر الامازون للوحدات السكنية المفروشة,بيشة,عسير,الموسى,الملك سعود,7400,,017-6226555,amazonhotelksa@gmail.com
برلنت الشمال,حائل,حائل,المنتزه الشمالي,الملك عبدالعزيز,9483,,016-5587744,brillianthail@yahoo.com
شقق قصر ضيافه الشرق للوحدات السكنيه,الخبر,الشرقية,العليا,بشار بن برد,2790,3260,+966138117400,ahmed.humeda@yahoo.com
فندق الحياة جيزان,جازان,جازان,الكرنيش,الكرنيش,7488,,017-3221055,alhayatjizanhotel@hotmail.com
المدينة الزرقاء للأجنحة الفندقية,خميس مشيط,عسير,النسيم,طريق الأمير سلطان,5241,,017-2755551,abdullah.alwadi@gmail.com
البيت بيتكو,ظهران الجنوب,عسير,الرحيب الغربي,الشارع العام,0,,017-2553733,hasan661917@hotmail.com
شركة الرابطة الفندقية المحدودة شركة شخص واحد,جدة,مكة المكرمة,حي الحمراء,المغفره,3218,23323,+966126622232,anasalnomani@gmail.com
شركة الغرف الهادئة للسياحة,الرياض,الرياض,اليرموك,ابى جعفر المنصور,11,13251,+966112780777,naif3rwel2@gmail.com
شقق نخبة المكان للشقق المخدومة,الطائف,مكة المكرمة,القيم الأسفل,طريق المطار,5000,2470,+966127508888,abu_salah600@hotmail.com
النهضة,الرياض,الرياض,المرقب,ابي ايوب الانصاري,121,,011-2871153,timesshoes_99@yahoo.com
فندق الفيروز شطه,المدينة المنورة,المدينة المنورة,بضاعة,زيد بن ثابت,148,,014-8290920,shatttajorob@hotmail.com
شقق مأوى الدانة للوحدات السكنية,طبرجل,الجوف,حي الرحمانية -3874,شارع الامير نايف,96,72,+966146283388,melh2017@hotmail.com
قصر التحلية الجديد,القياس,جازان,الدرب,الشارع العام,2400,,017-3461444,ahmedalzain603@yahoo.com
فندق النسيم مودة,العاصمة المقدسة,مكة المكرمة,اجياد,ريع بخش,2647,3904,+966125412888,abo.saud1@mawaddah.com.sa
قصر الابرار,الهدية,القصيم,الافق,الملك خالد,2,,016-3845551,a-6365588@hotmail.com
هدوء أجنحة,جدة,مكة المكرمة,مشرفة,الخيول,48,,012-6177396,a1085288841@gmail.com
مجمع رغدان السياحي للوحدات السكنيه المفروشه,الباحة,الباحة,حي الضباب,طريق الجنوب,7630,1095,+966177273333,ibrahimwida@gmail.com
شقق روز القوز للشقق المفروشة,القوز,مكة المكرمة,القوز,العام,6373,008,+966177335050,rosealquoz@gmail.com
فندق شروق العدل,العاصمة المقدسة,مكة المكرمة,النزهة,حسين بن حرب,99900010,,014-5473269,oabuhomaidi@hotmail.com
نزل هابي لاند للوحدات السكنيه,الطائف,مكة المكرمة,حي الاخباب,-,2286,26724,+966503555807,m.alusaifer@hotmail.com
مؤسسة عبدالعزيز حامد الردادي للمقاولات,الطائف,مكة المكرمة,حي مسره الشمالية,طريق الهدا العام,1,25228,+966127341133,abdulaziz.raddadi1@gmail.com
شقق قصر اماسينا للوحدات السكنية,الرياض,الرياض,المناخ,الدائري الجنوبي,3645,3645,+966114713101,ABUABUT1@HOTMAIL.COM
مجموعة سعيد عبدالله خبتي شركة شخص واحد,بيشة,عسير,حي الفهد,طريق الملك فيصل,4635,2,+966176209999,n.khabti@gmail.com
قصر مرج الجنوب للوحدات السكنية,أبها,عسير,المروج,المنسك,7528,,017-2242424,leen1392@hotmail.com
شقق أسفار بلازا الفندقية,الرياض,الرياض,حي الملقا,محمد عبدالعزيز الدغيثر,7618,150417,+966114855595,haqood@gmail.com
فندق لؤلؤة التوحيد لصاحبه فايز جميل زقزوق,العاصمة المقدسة,مكة المكرمة,جرهم,ايراهيم الخليل,3231,8816,+966125460118,aaa089a@hotmail.com
فندق سويس سبيريت,الرياض,الرياض,حي الصحافة,وادي بيش,7437,62644,+966558151776,hradmin.royal@swissinternationalhotels.com
شركة اوتاد المتحدة لتشغيل الفنادق شركة شخص واحد,العاصمة المقدسة,مكة المكرمة,حي النزهة,الشمالية,7066,8133,+966012555540,aa5rko@gmail.com
شقق ركن الرفاهية للوحدات السكنية,الرياض,الرياض,حي المنصورة,سراقة بن مالك,7851,72116,+966114224225,alhazmi02013@hotmail.com
فندق سويس سبيرت الطائف,الطائف,مكة المكرمة,حي الشرقية,طريق الملك سعود,9287,26513,+966127377774,hr@jumaiahgroup.com
شقق سويت لايت للشقق المخدومة,تبوك,تبوك,المروج الثاني,المروج 2,1,6622,+966541195099,sweetlighthotelsuite@gmail.com
شركة فربيون للشقق المخدومة,محايل,عسير,حي الحيلة الشرقي,طريق الشعبين,8188,6652,+966172930111,c-ferbion@hotmail.com
شقق سيرين للشقق المفروشة,الخبر,الشرقية,العليا,الفضل بن اسماعيل,6735,6735,+966138174032,gm@serene.sa
فندق حامد مدوح الحازمي الفندقية,طريف,الحدود الشمالية,العزيزية,الامير عبدالله بن عبدالعزيز بن مساعد,3665,57,+966146530036,HAMOD.ALHAZMI@GMAIL.COM
فندق المرجان فرع شركة الاصول المتميزه للمشاريع العمرانيه المحدوده,العاصمة المقدسة,مكة المكرمة,حي الهجلة,ابراهبم الخليل,3837,18888,+966504606101,OSOULHOTEL@GMAIL.COM
البيت الهادي,ينبع,المدينة المنورة,البندر,الامير مقرن,4545,,014-3225871,fahd.groub@hotmail.com
شقق برج العنوان للوحدات السكنية,الرياض,الرياض,حي المعيزلة,البسالة,6625,6625,+966557840810,alsqladi@yahoo.com
الصالحية,المدينة المنورة,المدينة المنورة,بضاعة,زيد بن ثابت,7,,014-8208290,Info@taibaalsalihiya.com
لؤلؤة السايس,العاصمة المقدسة,مكة المكرمة,المسفله,أبراهيم الخليل,0,,014-5758866,zainy1401@hotmail.com
فندق سرايا طيبة الفندقية,المدينة المنورة,المدينة المنورة,حي قربان,حذيفة البارقي الازدي,8188,8188,+966148152091,ahmed87business@gmail.com
شاطئ الجميرة,تبوك,تبوك,ام عنم,الملك عبدالعزيز,8356,,014-4532784,fahad8372@hotmai.com
شقق دانة للشقق المخدومة,الرياض,الرياض,القيروان,صالح بن محمد,6707,13531,+9661111111,danariyadhcompany@gmail.com
ساس دارك,نجران,نجران,الامير مشعل,انس بن مالك,2869,,017-5291618,am-s2005@hotmail.com
شركة دريم زون لتشغيل الفنادق,العاصمة المقدسة,مكة المكرمة,اجياد,العام,4972,4972,+966125672626,saud@maaman.sa
مؤسسة سمايه للفنادق والمنتجعات,الرياض,الرياض,الرمال,علي البجادي,8150,11461,+966114591161,abdullah1003@gmail.com
اجنحة الفاخرية للوحدات السكنية,نجران,نجران,الضيافة,عقبة بن عامر,1112,,017-5434444,abosaq@hotmail.com
مؤسسة سمايا الخبر للوحدات السكنية المفروشة,الخبر,الشرقية,حي العليا,زيد بن الخطاب,2322,34446,+966138986602,samaya.hotel@hotmail.com
فندق ديوان روز الفندقية,المدينة المنورة,المدينة المنورة,حي النقاء,طريق الملك فيصل - الدائري الاول,11,6285,+966148188518,safiest1@hotmail.com
اجنحة ترحال,حائل,حائل,الكورنيش,الثلاثين,0,,016-5436404,fahadalanazi10@gmail.com
فندق فوزية عبدالكريم فردان امير علي,العاصمة المقدسة,مكة المكرمة,المسفلة,حارة الجاوة,2608,,014-0000000,ahmedalfiqi1980@gmail.com
جمان للوحدات السكنية,الدمام,الشرقية,الحمراء,ابو هريره,6157,,013-8096677,jumansuites112@gmail.com
ليالي الذهب,جدة,مكة المكرمة,حي الهنداوية,شارع الذهب,1,,012-6270555,KQALQADI@HOTMAIL.COM
فندق منارة حاتم,العاصمة المقدسة,مكة المكرمة,جرول,جبل الكعبة,0,,014-5241133,mod_alkhayyat@hotmail.com
شقق أنسام حائل للوحدات السكنية,حائل,حائل,ملحق الزهرة,الملك عبدالله,4935,2488,+966165430430,abuuoosef@gmail.com
برج طيبة,المدينة المنورة,المدينة المنورة,العوالي,علي بن أبي طالب,8296,,014-8445582,tahirnawaz382@gmail.com
شركة نوفا للفنادق,تبراك,الرياض,تبراك,مكة المكرمة,2922,7335,+966118296500,abdulrahman.alajlan@radissoncollection.com
فندق شاهر بن عابد العميري,العاصمة المقدسة,مكة المكرمة,المسفلة,الهجرة,0,,014-5669111,rwad.2012@hotmail.com
بلاتينيوم السبعين,جدة,مكة المكرمة,العزيزية,المؤلفين,8007,,012-6741000,info@platinum-suites.com
مؤسسة منصور عمر محمد قبول للشقق المفروشة,الخبر,الشرقية,العليا,ابو الفوارس,7182,79322,+966138034833,larissa-suites@outlook.com
داري ودارك للوحدات السكنيه المفروشه,الرياض,الرياض,الشفا,الخليفة المأمون,5874,489,+966112977775,Bahmaid1980@gmail.com
فندق الضيافه بلازا الفندقية,العاصمة المقدسة,مكة المكرمة,حي جرهم,المسفلة شارع ابراهيم الخليل,8768,6360,+966125290212,alsarif.gruop@gmail.com
فندق جوهرة الاثير الفندقية,العاصمة المقدسة,مكة المكرمة,أجياد,أجياد,4497,4497,+966125777889,emad053388@gmail.com
شركة إليت,جدة,مكة المكرمة,حمراء,الجزير,12,,012-6482919,tareek1001@hotmail.com
فندق الازهر جدة الفندقية,جدة,مكة المكرمة,البغدادية الغربية,طريق المدينة المنورة,6942,24770,+966126424444,gm@alazharhotel.com
فخامة البدر,السيل الكبير,مكة المكرمة,الدراريج,مكة الطالع,0,,012-7350566,msh.fff@hotmail.com
نزل عروس لبنان,حقل,تبوك,حي أم عنم,شارع الكورنيش,49933,,014-4533000,aa1057560730@gmail.com
شقق مزهر محمد عبدالله الجاري الشهري,الرياض,الرياض,حي المنصورة,الدائري الجنوبي,2899,,011-4488885,bbm877@gmail.com
ضيافة الروضة,جدة,مكة المكرمة,الروضة,محمد صالح ابو زناد,9415,,012-6643911,aymanelking704@gmail.com
فندق أيان الفندقية,الرياض,الرياض,حي الصحافة,العليا,6667,2978,+966114803039,abdul@ayanarabia.com
فندق جوهرة الصفا,المدينة المنورة,المدينة المنورة,المصانع,الملك فهد بن عبدالعزيز,4300565,,014-8184049,safa_group@hotmail.com
بودل,الرياض,الرياض,السويدي,سلطانة,0,,011-2255400,hr.dir@boudl.com
شقق سرايا بلقيس للوحدات السكنية,فرسان,جازان,الصلب,العام,3074,3074,+966173161116,fahadalrashidif1977@gmail.com
ديامي للوحدات السكنية,خميس مشيط,عسير,البوادي,طريق الامير سلطان,4150,,017-2356060,amms2006@hotmail.com
فندق دار الرحمة دانه,العاصمة المقدسة,مكة المكرمة,اجياد المصافي,شارع اجياد المصافي,0,,014-5757957,alsafwa_dana@hotmail.com
